"Authors","Author full names","Author(s) ID","Title","Year","Link"
"Silva H.; Neto A.","Silva, Helber (8832571600); Neto, Augusto (35105652600)","8832571600; 35105652600","A holistic SDN-capable session-plane tailored for efficient IoMT smart surveillance applications","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015921450&doi=10.1109%2fGLOCOMW.2016.7848814&partnerID=40&md5=7c5982b2558848fe1c4d49abf750d045"
"Silva I.; Guedes L.A.","Silva, Ivanovitch (36537969500); Guedes, Luiz Affonso (35761038800)","36537969500; 35761038800","IEC 62601: Wireless Networks for Industrial Automation-Process Automation (WIA-PA)","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051768518&doi=10.1201%2fb17365&partnerID=40&md5=ecfe8ea445000242f4fa0800f5d4ab05"
"Sanches F.D.; Pederiva R.","Sanches, Fabio Dalmazzo (56728172000); Pederiva, Robson (6506329109)","56728172000; 6506329109","Theoretical and experimental identification of the simultaneous occurrence of unbalance and shaft bow in a Laval rotor","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962689517&doi=10.1016%2fj.mechmachtheory.2016.03.019&partnerID=40&md5=7fff2cf59642a256916d8fd6caf97d07"
"Dias S.; Queiroz K.; Araujo A.; Dias A.","Dias, Samaherni (16177129200); Queiroz, Kurios (24831035000); Araujo, Aldayr (14015206500); Dias, Anfranserai (24437625100)","16177129200; 24831035000; 14015206500; 24437625100","Robust control of robotic manipulators based on left inverse system and variable structure model reference adaptive control","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987810718&doi=10.1002%2facs.2663&partnerID=40&md5=6dbca94aeef24da5e9288e7a1cfc1f9d"
"Guimaraes J.P.F.; Fontes A.I.R.; Rłgo J.B.A.; Silveira L.F.Q.; Martins A.M.","Guimaraes, Joao P. F. (57190426813); Fontes, Aluisio I. R. (55763633400); Rłgo, Joilson B. A. (56702327300); Silveira, Luiz F. Q. (56363591700); Martins, Allan M. (57985251100)","57190426813; 55763633400; 56702327300; 56363591700; 57985251100","Performance evaluation of the maximum correntropy criterion in identification systems","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979903087&doi=10.1109%2fEAIS.2016.7502500&partnerID=40&md5=55cc217decc69d5004df55411ab7f0f8"
"Assmann B.W.; Salazar A.O.; Vidal F.J.T.; Ferreira J.","Assmann, B.W. (24779263400); Salazar, A.O. (7102422753); Vidal, F.J.T. (57193579723); Ferreira, J. (58932619800)","24779263400; 7102422753; 57193579723; 58932619800","Implementation of Pi-Fuzzy Controller for Progressing Cavity Pump Artificial Oil Lift System","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015062368&doi=10.1109%2fTLA.2017.7854621&partnerID=40&md5=6d230649df6056e1c581d99a6777323a"
"Cacho A.; Figueredo M.; Cassio A.; Araujo M.V.; Mendes L.; Lucas J.; Farias H.; Coelho J.; Cacho N.; Prolo C.","Cacho, Andrea (57170494700); Figueredo, Mickael (57169958200); Cassio, Arthur (56684847600); Araujo, Maria Valeria (57188565114); Mendes, Luiz (54892018500); Lucas, José (57188549809); Farias, Hiarley (57170465600); Coelho, Jazon (58170659300); Cacho, Nélio (17433450200); Prolo, Carlos (23135497400)","57170494700; 57169958200; 56684847600; 57188565114; 54892018500; 57188549809; 57170465600; 58170659300; 17433450200; 23135497400","Social smart destination: A platform to analyze user generated content in smart tourism destinations","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961566852&doi=10.1007%2f978-3-319-31232-3_77&partnerID=40&md5=8884ea52c96d1b29c005148dfc01951a"
"De Fatima Do Nascimento Silva F.; Lopes Martins D.; Duarte Doria Neto A.; Allysson Felipe Rodrigues M.; Da Mata W.","De Fatima Do Nascimento Silva, Francisca (57192706526); Lopes Martins, Daniel (57196726171); Duarte Doria Neto, Adriao (7102618949); Allysson Felipe Rodrigues, Marcos (35146691800); Da Mata, Wilson (15046381300)","57192706526; 57196726171; 7102618949; 35146691800; 15046381300","Optimization of the Oil Production Fields Submitted the Water Injection, Using the Algorithm NSGA-II","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007439012&doi=10.1109%2fTLA.2016.7785948&partnerID=40&md5=f367b41706b838f5129e504dbbb2800d"
"Maia P.; Baffa A.; Cavalcante E.; Delicato F.C.; Batista T.; Pires P.F.","Maia, Pedro (56369968100); Baffa, Augusto (36175488000); Cavalcante, Everton (54893538400); Delicato, Flavia C. (55887461400); Batista, Thais (36812228000); Pires, Paulo F. (55595376300)","56369968100; 36175488000; 54893538400; 55887461400; 36812228000; 55595376300","A Middleware Platform for Integrating Devices and Developing Applications in e-Health","2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962376970&doi=10.1109%2fSBRC.2015.13&partnerID=40&md5=b76a5d8dff7f1d04d8f5f688655cd722"
"Santana F.; Santiago R.; Bedregal B.; Paternain D.; Bustince H.","Santana, Fagner (51061387700); Santiago, Regivan (7006674404); Bedregal, Benjamin (15520790700); Paternain, Daniel (35435798900); Bustince, Humberto (55034746100)","51061387700; 7006674404; 15520790700; 35435798900; 55034746100","Generalized quasi-metric on strings","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959352366&doi=10.1016%2fj.ins.2016.01.097&partnerID=40&md5=3fa45f3817242abfc7048fffa7db1f0d"
